dimension,pool,n_cells,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,sensitivity_resid_mean,sms_drift_mean,pri_mean,pri_std,pri_ci_low,pri_ci_high
Analytical Framing,A,120,0.5612062208138759,0.1671678018092674,0.531251195241272,0.5909448417000221,0.04681877768471924,0.11748221268256505,0.5169987972217054,0.06362657088649301,0.5055839248583505,0.5284938597503245
Audience Perspective,A,90,0.4871093692091024,0.14791994433072797,0.45652101864205763,0.5175713345934326,0.004299462156273491,0.09240618679258558,0.6264679901940446,0.08021211299989672,0.609842684270916,0.6436776717783556
Completeness Framing,A,90,0.48284800978430065,0.14721175297288108,0.45281075809799126,0.5130478420799052,-0.003616561694618753,0.08201492495006985,0.60603113138714,0.08626877213478783,0.5883415319934562,0.6238540314504406
Constraint Based,A,90,0.35151211919057146,0.15737072728831594,0.31879455285004815,0.38338621581054033,-0.1393921261272908,0.05795813732677036,0.6137000183073444,0.08297607675213,0.5968113729340109,0.6311669673642584
Direct Command,A,120,0.4458707193684679,0.16518426786543564,0.41673702259839895,0.4759326147987547,-0.03633582399533064,0.08129038910071056,0.5928287247748953,0.08852054184392395,0.5772411719406233,0.609075256886779
Emphasis Focus,A,90,0.4850487361945001,0.19383104548791114,0.44518133385219777,0.5251743430805723,-0.020166299079683023,0.10380272732840644,0.5411356149208151,0.06953455844049765,0.5276117736118258,0.5562823325601952
Lexical Filter,B,90,0.46843099103105773,0.12521378025329102,0.4428332592098437,0.49453286913497885,-0.03763325477122938,0.07455244064331054,0.5695141969828532,0.09453273337750953,0.5503223702830113,0.59013015283161
Meta-reflection,B,30,0.6199305092283746,0.12838181761454096,0.572100163998221,0.6662725567044696,0.1135449324591074,0.10051942865053813,0.5528252198112427,0.06005988397290738,0.5313139301689686,0.5746954487578022
Output Format,A,90,0.3577555407308576,0.1245882399617749,0.33199510784967756,0.38367340727151433,-0.13437098304436762,0.05002165105607775,0.5823225388309248,0.0749370764722648,0.5671047818020996,0.5983655001311301
Persona / Tone,B,180,0.48998573122822625,0.1733057858818328,0.4645532530946557,0.5157907679193537,-0.020748287956857844,0.09205464389589098,0.553210463961543,0.09111542442951923,0.5402164685519176,0.5670741914841703
Question Form,A,120,0.6142974482988658,0.1708290314653271,0.5825764294251723,0.64421270082833,0.10306670626180561,0.11702296783526739,0.5488490707195728,0.07484983949945687,0.5354945879271773,0.5627158729012085
Role Based,A,120,0.5203737213698021,0.14890911958206784,0.4941074118857016,0.546359034495219,0.02803564967819854,0.08215439319610596,0.569420349477547,0.06629433365594264,0.5579139381803762,0.5815453176285804
Theme Isolation,B,150,0.6111157438292194,0.15960027757537518,0.5866490493662442,0.636421269735379,0.09035785087225454,0.14841682612895965,0.5001639468009044,0.07105662687682598,0.48896533033112316,0.5114422323851416
Tone Register,A,120,0.47986741160773844,0.11706078988104465,0.4587128641316433,0.5011346348954859,-0.0036366024785116024,0.08432692587375641,0.6113151708852527,0.07914859950996363,0.597490824676954,0.6257525105304459
