dimension,pool,n_cells,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,sensitivity_resid_mean,sms_drift_mean,pri_mean,pri_std,pri_ci_low,pri_ci_high
Analytical Framing,A,120,0.5353845619301757,0.16944034751923218,0.5056252397431621,0.5656398710251279,0.023763877341053615,0.09784065534671148,0.5379498455996764,0.0700204890595887,0.5257918103959648,0.5507070010556742
Audience Perspective,A,90,0.5096632940478837,0.1632723491837013,0.4756619968868135,0.5434113019790971,0.025236131257969512,0.10644576681984795,0.6017608171824862,0.08306594471578291,0.5846908767565209,0.619575099343246
Completeness Framing,A,90,0.49595359869542655,0.1620772504197913,0.46201085909124595,0.5295060364316951,0.007230516351736684,0.0887233813603719,0.593729782221751,0.08608241936509976,0.5759842069929657,0.611966459425019
Constraint Based,A,90,0.3982842265213846,0.16486623445866555,0.3648113371877548,0.4322737380475874,-0.09150531258687065,0.07345031367407905,0.6082560634036596,0.08726772897759139,0.590197640135759,0.6264718069942259
Direct Command,A,120,0.42780436957971985,0.16218483525120997,0.398644068267734,0.4565961057371581,-0.060427411804131644,0.08633905102809271,0.5874638504705619,0.08874913128613467,0.5720760821030316,0.6039167327929815
Emphasis Focus,A,90,0.520865762360092,0.18486923581355183,0.4835278426358313,0.559167407901564,0.018302955243088087,0.09512583480940925,0.5612537455833374,0.07518875226364233,0.5459851499970332,0.5771493807501505
Lexical Filter,B,90,0.44540378771032535,0.1433412432642498,0.416127223704692,0.4759237732562448,-0.0509522610999605,0.07452178531222874,0.5765080953074426,0.09256023701247086,0.5573780723102969,0.5961004671849421
Meta-reflection,B,30,0.4976128530131198,0.1202324306163949,0.45523932621747826,0.5429132338225483,-0.021932549294298,0.0936050812403361,0.5264006660030719,0.054041275381715936,0.5074131594068124,0.5458946035229821
Output Format,A,90,0.4408186939441109,0.16022325215132827,0.40783040545548876,0.47307599974056774,-0.05639795684211921,0.07157264550526937,0.5788157539773664,0.08507641862091088,0.5611755385965194,0.5968911860357686
Persona / Tone,B,180,0.4641462827069898,0.143194044866708,0.44346822881921283,0.4847880670446965,-0.04671033639013589,0.10248257848951552,0.5465518470550697,0.0924192752826139,0.5332550975014186,0.5603865833723536
Question Form,A,120,0.5449245330220146,0.1809452714616108,0.5120730139537469,0.5772896166889038,0.03595826292460614,0.09303969889879227,0.556958298498256,0.0771554082378831,0.5435073778822715,0.5713202246455038
Role Based,A,120,0.4625667111407605,0.14163794240579294,0.43702644123860357,0.4879130844173893,-0.029175797058091025,0.07635360807180405,0.5823456496120198,0.07539041268195407,0.5695486121934011,0.5960637141128102
Theme Isolation,B,150,0.6462036913497887,0.14715470703656694,0.6226823271069603,0.6696529908828107,0.12816063130922495,0.14608331878980002,0.5018283429193204,0.07087734832870723,0.4907876215495038,0.5131027623086694
Tone Register,A,120,0.5427005503669112,0.11905378116100758,0.5215334215866133,0.5639196304480766,0.05629336712592973,0.09521024922529857,0.6017288496733383,0.08294144909271046,0.5870691067805545,0.6170362880707707
