model,instance_id,topic_label,n_variants,sms,auc_e,trd,kpig,ppl_var,bf,cs,hs,faithfulness,human_score,avg_length,avg_coverage,usd,trd_semantic,kpig_advanced,diagnostic_ori,diagnostic_ifi,diagnostic_pri,diagnosis,rouge1,rouge2,rougeL,judge_raw_outputs,faithfulness_raw_outputs
meta-llama/Llama-3.1-8B-Instruct,summ_0000,summarization,4,0.943451608531177,0.8266328679218269,0.015543192625045776,0.2635049318682004,0.0,0.0,0.7763159394264222,0.05417914574449528,0.75,0.8,99.75,0.6499999999999999,0.03659122221171862,0.015543192625045776,0.2635049318682004,0.5649359531841575,1.0,0.7219924266353376,Internally Stable / Output-Sensitive,0.47456994176519335,0.19172368918181437,0.2526536897668483,"[{""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}]","[{""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""neutral"", ""score"": 0.5}, {""raw_label"": ""neutral"", ""score"": 0.5}]"
meta-llama/Llama-3.1-8B-Instruct,summ_0001,summarization,8,0.9140946380794048,0.8649136454174332,0.026496104896068573,0.2694587431325337,0.0,0.0,0.796169513570411,0.3841071134204782,1.0,0.975,152.75,0.8035714285714285,0.08070281501859422,0.026496104896068573,0.2694587431325337,0.5723669309980957,1.0,0.7280322674234477,Internally Stable / Output-Sensitive,0.3020559005031509,0.09256488898677703,0.2071478810239959,"[{""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}]","[{""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}]"
meta-llama/Llama-3.1-8B-Instruct,summ_0002,summarization,8,0.8812369182705879,0.858524027612057,0.036823175847530365,0.24596124478178433,0.0,0.0,0.6223203926705397,0.4390094400566862,1.0,0.85,154.625,0.4230769230769231,0.029693095257075863,0.036823175847530365,0.24596124478178433,0.5402871525805192,1.0,0.7015408155230658,Internally Stable / Output-Sensitive,0.2660600861862224,0.07266651984045307,0.15066638956066997,"[{""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}]","[{""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}]"
meta-llama/Llama-3.1-8B-Instruct,summ_0003,summarization,8,0.8789723105728626,0.7956409558924495,0.037539124488830566,0.2466361017841404,0.0,0.0,0.6025188714265823,0.24647514563481643,0.8125,0.875,149.0,0.4609375,0.10940447077155113,0.037539124488830566,0.2466361017841404,0.5341808773876229,1.0,0.696372748821139,Internally Stable / Output-Sensitive,0.20447952901887811,0.06161695919561495,0.10193734193999446,"[{""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}]","[{""raw_label"": ""neutral"", ""score"": 0.5}, {""raw_label"": ""neutral"", ""score"": 0.5}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""neutral"", ""score"": 0.5}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}]"
meta-llama/Llama-3.1-8B-Instruct,summ_0004,summarization,8,0.83585225045681,0.8752390844085519,0.051272451877593994,0.23706106377583364,0.0,0.0,0.5243970506957599,0.3971167169310923,0.8125,0.8749999999999999,152.375,0.36607142857142855,0.15399513207375992,0.051272451877593994,0.23706106377583364,0.5255347858006869,1.0,0.6889843361059204,Internally Stable / Output-Sensitive,0.19132176301203235,0.033021517740319875,0.11252986692138003,"[{""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}]","[{""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""neutral"", ""score"": 0.5}, {""raw_label"": ""neutral"", ""score"": 0.5}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""neutral"", ""score"": 0.5}]"
meta-llama/Llama-3.1-8B-Instruct,crea_0000,creative,8,0.8634771406650543,0.9292142938423971,0.042451485991477966,0.21337988399463018,0.0,0.0,0.300976615101099,0.5417641206035643,0.8125,0.85,152.375,0.1421875,0.19614232844859358,0.042451485991477966,0.21337988399463018,0.5021909863522402,1.0,0.6686113695459018,Internally Stable / Output-Sensitive,0.1967631418767165,0.06809988225429556,0.10830593410708125,"[{""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""1"", ""score"": 0.2}]","[{""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""neutral"", ""score"": 0.5}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""contradiction"", ""score"": 0.0}]"
meta-llama/Llama-3.1-8B-Instruct,crea_0001,creative,8,0.8667673021554947,0.9271142891112759,0.04140627384185791,0.22474899451248972,0.0,0.0,0.5424938837394995,0.7300100663245324,1.0,0.9249999999999999,160.125,0.2573529411764706,0.13842021982897723,0.04140627384185791,0.22474899451248972,0.5178039924092234,1.0,0.6823067998224311,Internally Stable / Output-Sensitive,0.35028699868490903,0.08446285373481152,0.17867216137772923,"[{""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}]","[{""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}]"
meta-llama/Llama-3.1-8B-Instruct,crea_0002,creative,7,0.9069671425968409,0.9335642282122295,0.028310613706707954,0.22198083048124367,0.0,0.0,0.5804517355953612,0.5002080770503808,1.0,0.9714285714285714,160.0,0.2913165266106442,0.15548360693145857,0.028310613706707954,0.22198083048124367,0.5189569587224363,1.0,0.6833069966102534,Internally Stable / Output-Sensitive,0.26405800806502905,0.09197148795056743,0.14021504078071148,"[{""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}]","[{""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}]"
meta-llama/Llama-3.1-8B-Instruct,crea_0003,creative,8,0.8618934899568558,0.9184167120355833,0.04295506328344345,0.21018696032271114,0.0,0.0,0.2747027496416723,0.5966022650314662,1.0,0.95,145.5,0.1310483870967742,0.2590966416426723,0.04295506328344345,0.21018696032271114,0.49679451938802394,1.0,0.6638112485755789,Internally Stable / Output-Sensitive,0.12231258743546032,0.040371623860299966,0.07460551035134741,"[{""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""4"", ""score"": 0.8}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}]","[{""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}]"
meta-llama/Llama-3.1-8B-Instruct,crea_0004,creative,4,0.88399887830019,0.9705810984042241,0.03215351700782776,0.20994502430433676,0.0,0.0,0.25943845761018797,0.656400675024108,1.0,1.0,144.75,0.1401098901098901,0.3055969885163582,0.03215351700782776,0.20994502430433676,0.502644716960909,1.0,0.6690133885773148,Internally Stable / Output-Sensitive,0.16813140800911708,0.044204257684310314,0.08649739030640674,"[{""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}, {""raw_output"": ""5"", ""score"": 1.0}]","[{""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}, {""raw_label"": ""entailment"", ""score"": 1.0}]"
