topic_label,sample_idx,model,input_text,original_prompt,prompt_variant_1,prompt_variant_2,prompt_variant_3,prompt_variant_4,prompt_variant_5,model_output_v1,model_output_v2,model_output_v3,model_output_v4,model_output_v5,ppl_v1,ppl_v2,ppl_v3,ppl_v4,ppl_v5,bf_v1,bf_v2,bf_v3,bf_v4,bf_v5,rouge1_v1,rouge1_v2,rouge1_v3,rouge1_v4,rouge1_v5,rouge2_v1,rouge2_v2,rouge2_v3,rouge2_v4,rouge2_v5,rougeL_v1,rougeL_v2,rougeL_v3,rougeL_v4,rougeL_v5,bleu_v1,bleu_v2,bleu_v3,bleu_v4,bleu_v5,lex_sim_v1,lex_sim_v2,lex_sim_v3,lex_sim_v4,lex_sim_v5,exact_match_v1,exact_match_v2,exact_match_v3,exact_match_v4,exact_match_v5,avg_ppl,avg_bf,ppl_std,avg_rouge1,avg_rouge2,avg_rougeL,avg_bleu,avg_lex_sim,rougeL_std,bleu_std,sms,auc_e,trd,kpig,ppl_var,pc_stab,ori,ifi,pri,cs,hs,diagnosis,reference_output
creative_writing,0,google/flan-t5-small,A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Write a short story based on this prompt: {input},Write a short story based on this prompt: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Create a brief narrative inspired by: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Compose a short creative passage that explores the following idea: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Craft a short fictional piece using this concept as your starting point: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Write a vivid short narrative based on: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,"But on the night the fog rolled in thicker than she'd ever seen, she climbed down to the shore and found.","Whatever the light had been keeping away, it had stopped moving. But on the night the fog rolled in thicker than she'd.","Whatever the light had been keeping away, it had stopped moving. But on the night the fog rolled in thicker than she'd ever seen, she climbed.","Whatever the light had been keeping away, it had stopped moving. For forty years, Miriam had kept the light burning without question.","For forty years, Miriam had kept the light burning without question. But on the night the fog rolled in thicker than she'd ever seen, she climbed down to the shore and found the water perfectly still — not a.",19.35,19.1196,20.3414,18.4066,18.2561,0.6477,0.6953,0.6956,0.5885,0.6215,0.5946,0.6133,0.6835,0.5946,0.8571,0.5833,0.5753,0.6494,0.5556,0.8539,0.5946,0.3733,0.4557,0.2973,0.8571,0.2167,0.2231,0.329,0.2357,0.6974,0.5385,0.2921,0.3841,0.0478,0.8438,0,0,0,0,0,19.0947,0.6497,0.7479,0.6686,0.6435,0.5156,0.3404,0.4213,0.1972,0.1831,0.3434,0.5725,0.094,0.6566,0.0392,0.0418,0.6784,0.98,0.8018,0.53,0.4579,Stochastic Luck,"For forty years, Miriam had kept the light burning without question. But on the night the fog rolled in thicker than she'd ever seen, she climbed down to the shore and found the water perfectly still — not a single wave. Whatever the light had been keeping away, it had stopped moving."
creative_writing,0,google/flan-t5-base,A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Write a short story based on this prompt: {input},Write a short story based on this prompt: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Create a brief narrative inspired by: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Compose a short creative passage that explores the following idea: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Craft a short fictional piece using this concept as your starting point: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Write a vivid short narrative based on: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,"But on the night the fog rolled in thicker than she'd ever seen, she climbed down to the shore and found the water perfectly still — not a single wave. For forty years, Miriam had kept the light burning without question.","Whatever the light had been keeping away, it had stopped moving. For forty years, Miriam had kept the light burning without question.","Whatever the light had been keeping away, it had stopped moving. But on the night the fog rolled in thicker than she'd ever seen, she climbed down.","Whatever the light had been keeping away, it had stopped moving. For forty years, Miriam had kept the light burning without question.","Whatever the light had been keeping away, it had stopped moving. For forty years, Miriam had kept the light burning without question.",13.3797,12.0329,14.2961,11.4846,13.192,0.6838,0.724,0.6917,0.6864,0.7208,0.8817,0.5946,0.7,0.5946,0.5946,0.8571,0.5556,0.6667,0.5556,0.5556,0.6882,0.2973,0.475,0.2973,0.2973,0.7347,0.2357,0.356,0.2357,0.2357,0.6139,0.0478,0.4028,0.0478,0.0478,0,0,0,0,0,12.8771,0.7013,1.0017,0.6731,0.6381,0.411,0.3596,0.232,0.1547,0.1933,0.2941,0.5791,0.1383,0.7059,0.0778,0.0174,0.6992,0.9764,0.8149,0.6076,0.4422,Stochastic Luck,"For forty years, Miriam had kept the light burning without question. But on the night the fog rolled in thicker than she'd ever seen, she climbed down to the shore and found the water perfectly still — not a single wave. Whatever the light had been keeping away, it had stopped moving."
creative_writing,0,sshleifer/distilbart-cnn-12-6,A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Write a short story based on this prompt: {input},Write a short story based on this prompt: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Create a brief narrative inspired by: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Compose a short creative passage that explores the following idea: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Craft a short fictional piece using this concept as your starting point: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,Write a vivid short narrative based on: A lighthouse keeper discovers that the light has been warning ships away from something other than rocks.,"Whatever the light had been keeping away, it had stopped moving. For forty years, Miriam had kept the light burning without question.","For forty years, Miriam had kept the light burning without question. Whatever the light had been keeping away, it had stopped moving.","For forty years, Miriam had kept the light burning without question. Whatever the light had been keeping away, it had stopped moving.","For forty years, Miriam had kept the light burning without question. Whatever the light had been keeping away, it had stopped moving.","But on the night the fog rolled in thicker than she'd ever seen, she climbed down to the shore and found the water perfectly still — not a single wave. For forty years, Miriam had kept the light burning without question.",8.7713,9.587,8.5193,9.0704,8.0911,0.7813,0.8326,0.7683,0.8133,0.8126,0.5946,0.5946,0.5946,0.5946,0.8817,0.5556,0.5556,0.5556,0.5556,0.8571,0.2973,0.5946,0.5946,0.5946,0.6882,0.2357,0.2357,0.2357,0.2357,0.7347,0.0478,0.3541,0.3541,0.3541,0.6139,0,0,0,0,0,8.8078,0.8016,0.5048,0.652,0.6159,0.5539,0.3355,0.3448,0.1333,0.1996,0.1951,0.7309,0.1386,0.8049,0.0573,0.0234,0.7978,0.98,0.8796,0.5929,0.4872,True Robustness,"For forty years, Miriam had kept the light burning without question. But on the night the fog rolled in thicker than she'd ever seen, she climbed down to the shore and found the water perfectly still — not a single wave. Whatever the light had been keeping away, it had stopped moving."
creative_writing,1,google/flan-t5-small,Two strangers are trapped in an elevator and realise they have met before in a dream.,Write a short story based on this prompt: {input},Write a short story based on this prompt: Two strangers are trapped in an elevator and realise they have met before in a dream.,Create a brief narrative inspired by: Two strangers are trapped in an elevator and realise they have met before in a dream.,Compose a short creative passage that explores the following idea: Two strangers are trapped in an elevator and realise they have met before in a dream.,Craft a short fictional piece using this concept as your starting point: Two strangers are trapped in an elevator and realise they have met before in a dream.,Write a vivid short narrative based on: Two strangers are trapped in an elevator and realise they have met before in a dream.,"He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. 'The bridge,' he said.","He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. 'You were standing at the end of it.' The.","'You were standing at the end of it.' The elevator hummed between floors. He recognised her before she spoke — the red scarf, the way she tilted her head when.",Neither of them pressed a button. 'You were standing at the end of it.' The.,"'The bridge,' he said. 'You were standing at the end of it.' The elevator hummed between floors.",19.6095,16.3707,14.9506,20.2634,22.1803,0.6782,0.6384,0.6442,0.6146,0.6082,0.6765,0.7671,0.7838,0.5,0.5484,0.6667,0.7324,0.75,0.4483,0.5,0.6765,0.7671,0.4324,0.3,0.5484,0.3998,0.5042,0.5336,0.1013,0.1623,0.6772,0.7382,0.365,0.1159,0.4368,0,0,0,0,0,18.6749,0.6367,2.6406,0.6552,0.6195,0.5449,0.3402,0.4666,0.1669,0.177,0.3359,0.6575,0.1207,0.6641,0.1414,0.0248,0.7055,0.9589,0.8129,0.4666,0.4537,True Robustness,"He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. 'The bridge,' he said. She went pale. 'You were standing at the end of it.' The elevator hummed between floors. Neither of them pressed a button."
creative_writing,1,google/flan-t5-base,Two strangers are trapped in an elevator and realise they have met before in a dream.,Write a short story based on this prompt: {input},Write a short story based on this prompt: Two strangers are trapped in an elevator and realise they have met before in a dream.,Create a brief narrative inspired by: Two strangers are trapped in an elevator and realise they have met before in a dream.,Compose a short creative passage that explores the following idea: Two strangers are trapped in an elevator and realise they have met before in a dream.,Craft a short fictional piece using this concept as your starting point: Two strangers are trapped in an elevator and realise they have met before in a dream.,Write a vivid short narrative based on: Two strangers are trapped in an elevator and realise they have met before in a dream.,"Neither of them pressed a button. He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. 'You were standing at the end of it.' The elevator hummed between floors.","'The bridge,' he said. 'You were standing at the end of it.' The elevator hummed between floors. Neither of them pressed a button.","'You were standing at the end of it.' The elevator hummed between floors. He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered..","'You were standing at the end of it.' The elevator hummed between floors. He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. Neither of them pressed a button.","'You were standing at the end of it.' The elevator hummed between floors. He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. Neither of them pressed a button.",12.4521,13.1012,13.1476,15.3741,12.5547,0.7314,0.7034,0.6834,0.7041,0.6902,0.9157,0.6765,0.8312,0.9157,0.9157,0.8642,0.6364,0.8,0.8642,0.8642,0.7711,0.6765,0.4935,0.6024,0.6024,0.7655,0.3405,0.6194,0.7655,0.7655,0.7725,0.5759,0.3464,0.3906,0.3906,0,0,0,0,0,13.3259,0.7025,1.0617,0.851,0.8058,0.6292,0.6513,0.4952,0.0919,0.1654,0.1114,0.8367,0.057,0.8886,0.0797,0.0165,0.8876,0.9761,0.9297,0.6683,0.6467,True Robustness,"He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. 'The bridge,' he said. She went pale. 'You were standing at the end of it.' The elevator hummed between floors. Neither of them pressed a button."
creative_writing,1,sshleifer/distilbart-cnn-12-6,Two strangers are trapped in an elevator and realise they have met before in a dream.,Write a short story based on this prompt: {input},Write a short story based on this prompt: Two strangers are trapped in an elevator and realise they have met before in a dream.,Create a brief narrative inspired by: Two strangers are trapped in an elevator and realise they have met before in a dream.,Compose a short creative passage that explores the following idea: Two strangers are trapped in an elevator and realise they have met before in a dream.,Craft a short fictional piece using this concept as your starting point: Two strangers are trapped in an elevator and realise they have met before in a dream.,Write a vivid short narrative based on: Two strangers are trapped in an elevator and realise they have met before in a dream.,"Neither of them pressed a button. 'The bridge,' he said. He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered.","He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. 'The bridge,' he said. 'You were standing at the end of it.' The elevator hummed between floors.","Neither of them pressed a button. He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. 'The bridge,' he said.","Neither of them pressed a button. He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. 'You were standing at the end of it.' The elevator hummed between floors.","'The bridge,' he said. He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. Neither of them pressed a button.",8.3797,9.096,8.2925,8.2408,6.6201,0.7234,0.8358,0.7797,0.7921,0.7895,0.7838,0.8889,0.7838,0.9157,0.7838,0.7222,0.8608,0.75,0.8642,0.7222,0.5135,0.8889,0.6216,0.7711,0.6757,0.5207,0.7497,0.5543,0.7655,0.5207,0.5108,0.8923,0.6217,0.7725,0.6072,0,0,0,0,0,8.1258,0.7841,0.8141,0.8312,0.7839,0.6942,0.6222,0.6809,0.1281,0.1114,0.0868,0.7936,0.02,0.9132,0.1002,0.036,0.8947,0.9664,0.9292,0.7202,0.6755,True Robustness,"He recognised her before she spoke — the red scarf, the way she tilted her head when the lights flickered. 'The bridge,' he said. She went pale. 'You were standing at the end of it.' The elevator hummed between floors. Neither of them pressed a button."
creative_writing,2,google/flan-t5-small,The last bookshop on Earth is about to close its doors forever.,Write a short story based on this prompt: {input},Write a short story based on this prompt: The last bookshop on Earth is about to close its doors forever.,Create a brief narrative inspired by: The last bookshop on Earth is about to close its doors forever.,Compose a short creative passage that explores the following idea: The last bookshop on Earth is about to close its doors forever.,Craft a short fictional piece using this concept as your starting point: The last bookshop on Earth is about to close its doors forever.,Write a vivid short narrative based on: The last bookshop on Earth is about to close its doors forever.,"Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times. She locked the door slowly, placed the key on the step,.","She locked the door slowly, placed the key on the step, and walked away without looking back. Outside, screens glowed in every window.","Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times. Outside, screens glowed in every window.","Elara ran her hand along the final shelf, each spine a world she'd visited a.","Elara ran her hand along the final shelf, each spine a world she'd visited a.",18.2994,19.9111,16.9913,19.7777,18.3638,0.6213,0.7208,0.678,0.617,0.6476,0.7073,0.6053,0.6234,0.4638,0.4638,0.675,0.5676,0.6133,0.4478,0.4478,0.7073,0.4474,0.6234,0.4638,0.4638,0.3696,0.2512,0.2713,0.0735,0.0735,0.6682,0.1925,0.6226,0.4119,0.4119,0,0,0,0,0,18.6687,0.6569,1.0786,0.5727,0.5503,0.5411,0.2078,0.4614,0.105,0.1168,0.3793,0.7831,0.0934,0.6207,0.0578,0.0387,0.714,0.9762,0.8248,0.5525,0.4273,True Robustness,"The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came. Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times. Outside, screens glowed in every window. She locked the door slowly, placed the key on the step, and walked away without looking back."
creative_writing,2,google/flan-t5-base,The last bookshop on Earth is about to close its doors forever.,Write a short story based on this prompt: {input},Write a short story based on this prompt: The last bookshop on Earth is about to close its doors forever.,Create a brief narrative inspired by: The last bookshop on Earth is about to close its doors forever.,Compose a short creative passage that explores the following idea: The last bookshop on Earth is about to close its doors forever.,Craft a short fictional piece using this concept as your starting point: The last bookshop on Earth is about to close its doors forever.,Write a vivid short narrative based on: The last bookshop on Earth is about to close its doors forever.,"The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came. Outside, screens glowed in every window. Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times.","The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came. She locked the door slowly, placed the key on the step, and walked away without looking back. Elara ran her hand along the final shelf, each spine a world she'd visited a hundred.","Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times. She locked the door slowly, placed the key on the step, and walked away without looking back. The.","Outside, screens glowed in every window. She locked the door slowly, placed the key on the step, and walked away without looking back. The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came.","Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times. Outside, screens glowed in every window. She locked the door slowly, placed.",12.4828,13.1146,13.1715,9.9995,13.1286,0.7027,0.6916,0.7209,0.6625,0.7062,0.809,0.9293,0.809,0.7955,0.7229,0.7586,0.8866,0.7586,0.7674,0.716,0.6742,0.5859,0.7865,0.5227,0.7229,0.5664,0.7792,0.5522,0.5954,0.4212,0.2776,0.3985,0.7676,0.1911,0.7261,0,0,0,0,0,12.3794,0.6968,1.2169,0.8131,0.7774,0.6584,0.5829,0.4722,0.0943,0.1149,0.2912,0.8398,0.0193,0.7088,0.0983,0.0195,0.7949,0.9708,0.8741,0.505,0.5936,True Robustness,"The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came. Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times. Outside, screens glowed in every window. She locked the door slowly, placed the key on the step, and walked away without looking back."
creative_writing,2,sshleifer/distilbart-cnn-12-6,The last bookshop on Earth is about to close its doors forever.,Write a short story based on this prompt: {input},Write a short story based on this prompt: The last bookshop on Earth is about to close its doors forever.,Create a brief narrative inspired by: The last bookshop on Earth is about to close its doors forever.,Compose a short creative passage that explores the following idea: The last bookshop on Earth is about to close its doors forever.,Craft a short fictional piece using this concept as your starting point: The last bookshop on Earth is about to close its doors forever.,Write a vivid short narrative based on: The last bookshop on Earth is about to close its doors forever.,"Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times. The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came. She locked the door slowly, placed the key on the step, and walked away without looking back.","The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came. Outside, screens glowed in every window. She locked the door slowly, placed the key on the step, and walked away without looking back.","She locked the door slowly, placed the key on the step, and walked away without looking back. Outside, screens glowed in every window. The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came.","Outside, screens glowed in every window. Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times. The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came.","The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came. Outside, screens glowed in every window. Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times.",8.2929,7.0334,6.1771,9.3485,7.5678,0.8113,0.8614,0.7965,0.8046,0.7896,0.94,0.7955,0.7955,0.809,0.809,0.898,0.7674,0.7442,0.7586,0.7586,0.7,0.7955,0.3864,0.427,0.6742,0.8198,0.5954,0.5664,0.5664,0.5664,0.3683,0.6992,0.1667,0.4408,0.2776,0,0,0,0,0,7.6839,0.8127,1.0816,0.8298,0.7854,0.5966,0.6229,0.3905,0.1608,0.0991,0.247,0.6987,0.0121,0.753,0.1408,0.0254,0.7844,0.9589,0.8629,0.5149,0.5854,True Robustness,"The sign read CLOSING SALE — EVERYTHING MUST GO, but no one came. Elara ran her hand along the final shelf, each spine a world she'd visited a hundred times. Outside, screens glowed in every window. She locked the door slowly, placed the key on the step, and walked away without looking back."
creative_writing,3,google/flan-t5-small,A scientist invents a machine that translates the emotions of plants.,Write a short story based on this prompt: {input},Write a short story based on this prompt: A scientist invents a machine that translates the emotions of plants.,Create a brief narrative inspired by: A scientist invents a machine that translates the emotions of plants.,Compose a short creative passage that explores the following idea: A scientist invents a machine that translates the emotions of plants.,Craft a short fictional piece using this concept as your starting point: A scientist invents a machine that translates the emotions of plants.,Write a vivid short narrative based on: A scientist invents a machine that translates the emotions of plants.,Chen adjusted the electrode behind its bark and waited. The second was: thirst.,The first thing the oak said was: patience. Chen adjusted the electrode behind its bark and waited.,"By nightfall, the oak was describing something that took her three weeks to translate — a memory, she eventually understood, of a storm from two hundred years ago..","The first thing the oak said was: patience. By nightfall, the oak was describing something that.",The second was: thirst. The first thing the oak said was: patience.,18.9225,19.3106,21.0803,17.2593,20.106,0.6601,0.6475,0.6338,0.6032,0.5974,0.4194,0.5152,0.7105,0.4923,0.3934,0.3667,0.4688,0.7027,0.4444,0.339,0.3548,0.5152,0.7105,0.4923,0.2623,0.0494,0.1283,0.4386,0.0974,0.0352,0.3027,0.5077,0.7165,0.491,0.1006,0,0,0,0,0,19.3357,0.6284,1.2743,0.5062,0.4643,0.467,0.1498,0.4237,0.1528,0.1482,0.4912,0.6342,0.1191,0.5088,0.0659,0.0245,0.6022,0.9776,0.7453,0.3558,0.3282,Stochastic Luck,"The first thing the oak said was: patience. The second was: thirst. Dr. Chen adjusted the electrode behind its bark and waited. By nightfall, the oak was describing something that took her three weeks to translate — a memory, she eventually understood, of a storm from two hundred years ago."
