article_id,seed_id,pool,dimension,cs_mean,sensitivity,diagnosis
art_0000,A01,A,Direct Command,0.8794452872795936,0.583288859239493,Fragile
art_0000,A02,A,Direct Command,0.7907769783185078,0.715126751167445,Fragile
art_0000,A03,A,Direct Command,0.864350852675927,0.5698799199466311,Fragile
art_0000,A04,A,Direct Command,0.8436476454520837,0.6342394929953302,Fragile
art_0000,A05,A,Question Form,0.6034223769719784,0.8712308205470314,Unreliable
art_0000,A06,A,Question Form,0.7944963083435327,0.6892261507671782,Fragile
art_0000,A07,A,Question Form,0.7647145868111879,0.5559372915276851,Fragile
art_0000,A08,A,Question Form,0.5669711300959954,0.6408605737158105,Unreliable
art_0000,A09,A,Role Based,0.8308242467733531,0.6451134089392928,Fragile
art_0000,A10,A,Role Based,0.8523327585978385,0.26224149432955307,True Robustness
art_0000,A11,A,Role Based,0.6270731798349284,0.9267511674449633,Unreliable
art_0000,A12,A,Role Based,0.8285320405012522,0.6339559706470981,Fragile
art_0000,A13,A,Constraint Based,0.7940113177666297,0.2015010006671114,True Robustness
art_0000,A14,A,Constraint Based,0.8519229915661689,0.2533188792528352,True Robustness
art_0000,A15,A,Constraint Based,0.5208984292470492,0.6576551034022682,Unreliable
art_0000,A16,A,Analytical Framing,0.8328493413252708,0.4093562374916611,True Robustness
art_0000,A17,A,Analytical Framing,0.6500873332604384,0.7733322214809873,Fragile
art_0000,A18,A,Analytical Framing,0.7745714634656906,0.6253502334889927,Fragile
art_0000,A19,A,Analytical Framing,0.5400543077251849,0.839593062041361,Unreliable
art_0000,A20,A,Output Format,0.8133300240987387,0.4762841894596398,True Robustness
art_0000,A21,A,Output Format,0.7450815836588541,0.514876584389593,Fragile
art_0000,A22,A,Output Format,0.7908693154652914,0.2923782521681121,True Robustness
art_0000,A23,A,Audience Perspective,0.5523676251371702,0.7731154102735157,Unreliable
art_0000,A24,A,Audience Perspective,0.8029532508972365,0.7718145430286858,Fragile
art_0000,A25,A,Audience Perspective,0.650109738493577,0.6574716477651767,Fragile
art_0000,A26,A,Emphasis Focus,0.7698554010727466,0.4865243495663776,True Robustness
art_0000,A27,A,Emphasis Focus,0.8644137157079501,0.3236324216144096,True Robustness
art_0000,A28,A,Emphasis Focus,0.7502382134015743,0.7000166777851902,Fragile
art_0000,A29,A,Tone Register,0.8620703942500629,0.4695630420280187,True Robustness
art_0000,A30,A,Tone Register,0.755828565129867,0.7115410273515677,Fragile
