topic_label,sample_idx,model,input_text,original_prompt,prompt_variant_1,prompt_variant_2,prompt_variant_3,prompt_variant_4,prompt_variant_5,model_output_v1,model_output_v2,model_output_v3,model_output_v4,model_output_v5,ppl_v1,ppl_v2,ppl_v3,ppl_v4,ppl_v5,bf_v1,bf_v2,bf_v3,bf_v4,bf_v5,rouge1_v1,rouge1_v2,rouge1_v3,rouge1_v4,rouge1_v5,rouge2_v1,rouge2_v2,rouge2_v3,rouge2_v4,rouge2_v5,rougeL_v1,rougeL_v2,rougeL_v3,rougeL_v4,rougeL_v5,bleu_v1,bleu_v2,bleu_v3,bleu_v4,bleu_v5,lex_sim_v1,lex_sim_v2,lex_sim_v3,lex_sim_v4,lex_sim_v5,exact_match_v1,exact_match_v2,exact_match_v3,exact_match_v4,exact_match_v5,avg_ppl,avg_bf,ppl_std,avg_rouge1,avg_rouge2,avg_rougeL,avg_bleu,avg_lex_sim,rougeL_std,bleu_std,sms,auc_e,trd,kpig,ppl_var,pc_stab,ori,ifi,pri,cs,hs,diagnosis,reference_output
summarization,0,google/flan-t5-small,"LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. The young actor says he has no plans to fritter his cash away on fast cars, drink and celebrity",Summarize the following text: {input},"Summarize the following text: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. The young actor","Condense the main ideas from this passage: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. Th","Produce a concise, neutral summary of the article below: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a sp","Give a brief overview of the key points in this text: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell","In one paragraph, capture the essential information from: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a s","Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to.",The young actor says he has no plans to fritter his cash away on fast.,"Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans.","Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to remain grounded and won't spend.","The young actor says he has no plans to fritter his cash away on fast cars,.",20.5111,20.3185,22.1833,21.751,21.702,0.6593,0.6438,0.7181,0.6653,0.687,0.8095,0.25,0.7805,0.9583,0.2439,0.8,0.1053,0.7692,0.9565,0.1026,0.8095,0.2,0.7805,0.9583,0.1951,0.6195,0.0229,0.5644,0.8684,0.0236,0.7897,0.3697,0.7739,0.9358,0.3594,0,0,0,0,0,21.2932,0.6747,0.739,0.6084,0.5467,0.5887,0.4198,0.6457,0.325,0.3396,0.4386,0.3827,0.0066,0.5614,0.0347,0.0257,0.5569,0.985,0.7115,0.4897,0.5048,Stochastic Luck,"Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to remain grounded and won't spend it extravagantly."
summarization,0,google/flan-t5-base,"LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. The young actor says he has no plans to fritter his cash away on fast cars, drink and celebrity",Summarize the following text: {input},"Summarize the following text: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. The young actor","Condense the main ideas from this passage: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. Th","Produce a concise, neutral summary of the article below: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a sp","Give a brief overview of the key points in this text: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell","In one paragraph, capture the essential information from: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a s","Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to remain grounded and won't spend it extravagantly. 'I don't plan to be one of those people who, as soon as they turn 18,.",Radcliffe's earnings from the first five Potter films have been held in a trust fund which he has not been able to touch. Daniel Radcliffe turns 18 and gains.,Radcliffe's earnings from the first five Potter films have been held in a trust fund which he has not been able to touch. Daniel Radcliffe turns 18 and gains.,"'I don't plan to be one of those people who, as soon as they turn 18, suddenly buy themselves a massive sports car collection,' he told an Australian interviewer. Daniel Radcliffe turns 18 and gains access to his £20 million.","LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to rem",14.4025,15.0448,11.8825,15.7444,15.81,0.7218,0.695,0.7161,0.7129,0.6524,0.7463,0.2909,0.2909,0.4545,0.5238,0.7385,0.1887,0.1887,0.3437,0.5122,0.7463,0.2182,0.2182,0.3333,0.5238,0.5839,0.131,0.131,0.2292,0.3369,0.7989,0.2408,0.2408,0.3388,0.5086,0,0,0,0,0,14.5768,0.6996,1.4417,0.4613,0.3944,0.408,0.2824,0.4256,0.2027,0.1688,0.5093,0.4444,0.0166,0.4907,0.0989,0.0253,0.5447,0.9693,0.6975,0.3301,0.3445,Stochastic Luck,"Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to remain grounded and won't spend it extravagantly."
summarization,0,sshleifer/distilbart-cnn-12-6,"LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. The young actor says he has no plans to fritter his cash away on fast cars, drink and celebrity",Summarize the following text: {input},"Summarize the following text: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. The young actor","Condense the main ideas from this passage: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. Th","Produce a concise, neutral summary of the article below: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a sp","Give a brief overview of the key points in this text: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell","In one paragraph, capture the essential information from: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a s","Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to remain grounded and won't spend it extravagantly.","Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to remain grounded and won't spend it extravagantly.","Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to remain grounded and won't spend it extravagantly.","Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to remain grounded and won't spend it extravagantly.","Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to remain grounded and won't spend it extravagantly.",10.7338,10.3645,11.2036,11.2157,8.5247,0.7969,0.7938,0.8424,0.8713,0.8339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,10.4085,0.8277,0.994,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0955,0.0292,1.0,0.9692,0.9844,1.0,1.0,True Robustness,"Daniel Radcliffe turns 18 and gains access to his £20 million fortune, but says he plans to remain grounded and won't spend it extravagantly."
summarization,1,google/flan-t5-small,Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a novel electrode coating that dramatically reduces charge time while maintaining energy density. The team e,Summarize the following text: {input},Summarize the following text: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a novel electrode coating th,Condense the main ideas from this passage: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a novel electro,"Produce a concise, neutral summary of the article below: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a",Give a brief overview of the key points in this text: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a no,"In one paragraph, capture the essential information from: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with ","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years. Scientists at the University of Cambridge have developed a.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years. The breakthrough uses.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years. The breakthrough uses sodium-ion cells paired with a novel electrode coating that dramatically reduces charge.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years. Scientists at the University of Cambridge have developed a.",18.4458,18.8356,19.6203,21.9348,22.266,0.7029,0.708,0.6664,0.6735,0.6601,0.8364,0.9388,0.9302,0.7419,0.8364,0.8302,0.9362,0.9268,0.7333,0.8302,0.8364,0.9388,0.9302,0.7419,0.8364,0.6944,0.872,0.8049,0.5769,0.6944,0.837,0.9305,0.9488,0.7351,0.837,0,0,0,0,0,20.2205,0.6822,1.5843,0.8567,0.8513,0.8567,0.7285,0.8577,0.0723,0.1017,0.1447,0.9056,0.0321,0.8553,0.0784,0.0195,0.8937,0.9757,0.9329,0.795,0.7964,True Robustness,"Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years."
summarization,1,google/flan-t5-base,Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a novel electrode coating that dramatically reduces charge time while maintaining energy density. The team e,Summarize the following text: {input},Summarize the following text: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a novel electrode coating th,Condense the main ideas from this passage: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a novel electro,"Produce a concise, neutral summary of the article below: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a",Give a brief overview of the key points in this text: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a no,"In one paragraph, capture the essential information from: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with ","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years.",13.1844,14.8146,13.6707,12.5388,12.4521,0.7433,0.7295,0.7957,0.7983,0.7647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,13.3321,0.7663,0.8646,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0649,0.0275,1.0,0.9771,0.9884,1.0,1.0,True Robustness,"Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years."
summarization,1,sshleifer/distilbart-cnn-12-6,Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a novel electrode coating that dramatically reduces charge time while maintaining energy density. The team e,Summarize the following text: {input},Summarize the following text: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a novel electrode coating th,Condense the main ideas from this passage: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a novel electro,"Produce a concise, neutral summary of the article below: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a",Give a brief overview of the key points in this text: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with a no,"In one paragraph, capture the essential information from: Scientists at the University of Cambridge have developed a new battery technology that could charge electric vehicles in under five minutes. The breakthrough uses sodium-ion cells paired with ","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years.","Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years.",9.7797,10.8593,9.9251,9.4033,8.0601,0.8328,0.82,0.8374,0.8357,0.8545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,9.6055,0.8361,0.9092,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0947,0.011,1.0,0.9737,0.9867,1.0,1.0,True Robustness,"Cambridge scientists developed a sodium-ion battery technology that can charge EVs in under 5 minutes, with commercial production expected within 3 years."
summarization,2,google/flan-t5-small,"The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest producer by volume for the first time. Supply chain disruptions caused by climate events in key growing",Summarize the following text: {input},"Summarize the following text: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest producer by volume for ","Condense the main ideas from this passage: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest producer b","Produce a concise, neutral summary of the article below: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the larg","Give a brief overview of the key points in this text: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest","In one paragraph, capture the essential information from: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the lar",Vietnam surpassed Brazil as the largest producer by volume for the first time. The global.,"Supply chain disruptions caused by climate events in key growing regions pushed arabica futures to a 45-year high, affecting cafés.","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year.","Vietnam surpassed Brazil as the largest producer by volume for the first time. The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and.","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions. The global coffee.",19.4429,16.4985,18.2791,15.5141,18.8382,0.6284,0.6487,0.6227,0.6362,0.6832,0.2273,0.3922,0.8627,0.5517,0.9508,0.0476,0.1224,0.8571,0.5357,0.9492,0.1364,0.2353,0.8627,0.5517,0.9508,0.0084,0.0189,0.7128,0.4896,0.8946,0.25,0.4197,0.8477,0.5418,0.9482,0,0,0,0,0,17.7146,0.6438,1.4758,0.5969,0.5024,0.5474,0.4249,0.6015,0.3251,0.3594,0.5341,0.336,0.0628,0.4659,0.0833,0.0215,0.4798,0.974,0.6429,0.3606,0.4578,Stochastic Luck,"The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions."
summarization,2,google/flan-t5-base,"The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest producer by volume for the first time. Supply chain disruptions caused by climate events in key growing",Summarize the following text: {input},"Summarize the following text: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest producer by volume for ","Condense the main ideas from this passage: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest producer b","Produce a concise, neutral summary of the article below: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the larg","Give a brief overview of the key points in this text: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest","In one paragraph, capture the essential information from: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the lar","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions.","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven.","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions.","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions.","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions.",13.2479,11.911,11.7922,12.7662,12.1118,0.7377,0.7359,0.7253,0.7399,0.7474,1.0,0.9643,1.0,1.0,1.0,1.0,0.963,1.0,1.0,1.0,1.0,0.9643,1.0,1.0,1.0,1.0,0.8837,1.0,1.0,1.0,1.0,0.9422,1.0,1.0,1.0,1,0,1,1,1,12.3658,0.7372,0.5548,0.9929,0.9926,0.9929,0.9767,0.9884,0.0143,0.0465,0.0131,0.9839,0.0012,0.9869,0.0449,0.0071,0.9891,0.987,0.988,0.9857,0.9854,True Robustness,"The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions."
summarization,2,sshleifer/distilbart-cnn-12-6,"The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest producer by volume for the first time. Supply chain disruptions caused by climate events in key growing",Summarize the following text: {input},"Summarize the following text: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest producer by volume for ","Condense the main ideas from this passage: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest producer b","Produce a concise, neutral summary of the article below: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the larg","Give a brief overview of the key points in this text: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the largest","In one paragraph, capture the essential information from: The global coffee market reached a record $100 billion valuation in 2025, driven by surging demand in Asia and premiumisation trends across Western markets. Vietnam surpassed Brazil as the lar","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions.","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions.","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions.","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions.","The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions.",8.8705,8.8098,8.4957,8.5927,8.8309,0.845,0.8658,0.8187,0.8659,0.8401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,8.7199,0.8471,0.148,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.017,0.0177,1.0,0.9914,0.9957,1.0,1.0,True Robustness,"The global coffee market hit $100 billion in 2025, with Vietnam becoming the top producer and arabica prices reaching a 45-year high due to climate-driven supply disruptions."
summarization,3,google/flan-t5-small,Researchers at MIT have unveiled an AI system called AlphaFold-Evo that can predict not just protein structures but their evolutionary trajectories. The model was trained on 500 million protein sequences and can forecast how a protein might adapt over thousands of generations. This capability could ,Summarize the following text: {input},Summarize the following text: Researchers at MIT have unveiled an AI system called AlphaFold-Evo that can predict not just protein structures but their evolutionary trajectories. The model was trained on 500 million protein sequences and can forecast,Condense the main ideas from this passage: Researchers at MIT have unveiled an AI system called AlphaFold-Evo that can predict not just protein structures but their evolutionary trajectories. The model was trained on 500 million protein sequences and,"Produce a concise, neutral summary of the article below: Researchers at MIT have unveiled an AI system called AlphaFold-Evo that can predict not just protein structures but their evolutionary trajectories. The model was trained on 500 million protein",Give a brief overview of the key points in this text: Researchers at MIT have unveiled an AI system called AlphaFold-Evo that can predict not just protein structures but their evolutionary trajectories. The model was trained on 500 million protein se,"In one paragraph, capture the essential information from: Researchers at MIT have unveiled an AI system called AlphaFold-Evo that can predict not just protein structures but their evolutionary trajectories. The model was trained on 500 million protei","Researchers at MIT have unveiled an AI system called AlphaFold-Evo that can predict not just protein structures but their evolutionary trajectories. MIT's AlphaFold-Evo AI can predict protein evolutionary paths over thousands of generations, potentially accelerating drug design by anticipating.","MIT's AlphaFold-Evo AI can predict protein evolutionary paths over thousands of generations, potentially accelerating drug design by.","MIT's AlphaFold-Evo AI can predict protein evolutionary paths over thousands of generations, potentially accelerating drug design by anticipating resistance mutations. This capability could accelerate drug design by identifying resistance-prone mutation pathways before.","The model was trained on 500 million protein sequences and can forecast how a protein might adapt over thousands of generations. MIT's AlphaFold-Evo AI can predict protein evolutionary paths over thousands of generations, potentially accelerating drug design.",Researchers at MIT have unveiled an AI system called AlphaFold-Evo that can predict not just protein structures but.,21.1937,19.431,17.9697,19.9448,17.1744,0.6101,0.7402,0.6483,0.5782,0.7056,0.625,0.9268,0.7719,0.5902,0.3415,0.6129,0.9231,0.7636,0.5763,0.1026,0.625,0.9268,0.7719,0.5902,0.2927,0.4124,0.7839,0.6059,0.3792,0.0257,0.632,0.8867,0.7643,0.6103,0.3816,0,0,0,0,0,19.1427,0.6565,1.4271,0.6511,0.5957,0.6413,0.4414,0.655,0.2112,0.2537,0.4124,0.6319,0.0783,0.5876,0.0746,0.0596,0.6589,0.967,0.7838,0.4815,0.5314,Stochastic Luck,"MIT's AlphaFold-Evo AI can predict protein evolutionary paths over thousands of generations, potentially accelerating drug design by anticipating resistance mutations."
