article_id,seed_id,pool,dimension,cs_mean,sensitivity,diagnosis
art_0000,A01,A,Direct Command,0.564379890759786,0.548995983935743,Fragile
art_0000,A02,A,Direct Command,0.6561004122098287,0.5927710843373494,Fragile
art_0000,A03,A,Direct Command,0.6101740101973215,0.3817269076305221,True Robustness
art_0000,A04,A,Direct Command,0.611501986781756,0.4385542168674699,True Robustness
art_0000,A05,A,Question Form,0.525612473487854,0.4827309236947791,Consistently Poor
art_0000,A06,A,Question Form,0.5773637741804123,0.5395582329317269,Fragile
art_0000,A07,A,Question Form,0.5335961580276489,0.26947791164658635,Consistently Poor
art_0000,A08,A,Question Form,0.5518325567245483,0.7008032128514056,Unreliable
art_0000,A09,A,Role Based,0.625281016031901,0.3783132530120482,True Robustness
art_0000,A10,A,Role Based,0.7143740008274714,0.5730923694779116,Fragile
art_0000,A11,A,Role Based,0.6223218341668447,0.25220883534136546,True Robustness
art_0000,A12,A,Role Based,0.5399981985489527,0.41807228915662653,Consistently Poor
art_0000,A13,A,Constraint Based,0.509536678592364,0.05963855421686747,Consistently Poor
art_0000,A14,A,Constraint Based,0.5536420891682307,0.2793172690763052,Consistently Poor
art_0000,A15,A,Constraint Based,0.6112412363290787,0.31285140562249,True Robustness
art_0000,A16,A,Analytical Framing,0.6901029547055563,0.6654618473895582,Fragile
art_0000,A17,A,Analytical Framing,0.5381296277046204,0.6696787148594378,Unreliable
art_0000,A18,A,Analytical Framing,0.585673655072848,0.3062248995983936,True Robustness
art_0000,A19,A,Analytical Framing,0.5195819238821665,0.6311244979919679,Unreliable
art_0000,A20,A,Output Format,0.5486586689949036,0.08614457831325302,Consistently Poor
art_0000,A21,A,Output Format,0.5453606893618902,0.1793172690763052,Consistently Poor
art_0000,A22,A,Output Format,0.5495514869689941,0.2,Consistently Poor
art_0000,A23,A,Audience Perspective,0.6671179383993149,0.5313253012048192,Fragile
art_0000,A24,A,Audience Perspective,0.5550042539834976,0.2359437751004016,Consistently Poor
art_0000,A25,A,Audience Perspective,0.6528122971455256,0.27329317269076303,True Robustness
art_0000,A26,A,Emphasis Focus,0.6660340329011282,0.3680722891566265,True Robustness
art_0000,A27,A,Emphasis Focus,0.6088269899288813,0.6995983935742972,Fragile
art_0000,A28,A,Emphasis Focus,0.5375223209460577,0.4947791164658635,Unreliable
art_0000,A29,A,Tone Register,0.6793329765399297,0.3385542168674699,True Robustness
art_0000,A30,A,Tone Register,0.6113920907179514,0.3821285140562249,True Robustness
art_0000,A31,A,Tone Register,0.6968231499195099,0.5399598393574297,Fragile
art_0000,A32,A,Tone Register,0.6298424204190572,0.32429718875502006,True Robustness
art_0000,A33,A,Completeness Framing,0.5638202975193659,0.4094377510040161,True Robustness
art_0000,A34,A,Completeness Framing,0.70118581255277,0.39718875502008033,True Robustness
art_0000,A35,A,Completeness Framing,0.572423721353213,0.4899598393574297,Fragile
art_0000,B01,B,Lexical Filter,0.438593993584315,0.6325301204819277,Unreliable
art_0000,B02,B,Lexical Filter,0.5957308610280355,0.36265060240963853,True Robustness
art_0000,B03,B,Lexical Filter,0.613454669713974,0.5973895582329317,Fragile
art_0000,B04,B,Theme Isolation,0.5283908868829409,0.7765060240963856,Unreliable
art_0000,B05,B,Theme Isolation,0.523825411995252,0.2674698795180723,Consistently Poor
art_0000,B06,B,Theme Isolation,0.5047339250644048,0.6913654618473896,Unreliable
art_0000,B07,B,Theme Isolation,0.5912042359511057,0.6748995983935743,Fragile
art_0000,B08,B,Theme Isolation,0.5500461707512537,0.2034136546184739,Consistently Poor
art_0000,B09,B,Persona / Tone,0.508516530195872,0.6734939759036145,Unreliable
art_0000,B10,B,Persona / Tone,0.5200645873943964,0.4106425702811245,Consistently Poor
art_0000,B11,B,Persona / Tone,0.7193236102660497,0.21044176706827308,True Robustness
art_0000,B12,B,Persona / Tone,0.48871018290519713,0.7746987951807229,Unreliable
art_0000,B13,B,Persona / Tone,0.5170595695575079,0.3708835341365462,Consistently Poor
art_0000,B14,B,Persona / Tone,0.46349076678355533,0.671285140562249,Unreliable
art_0000,B15,B,Meta-reflection,0.5461001743872961,0.45160642570281123,Consistently Poor
art_0001,A01,A,Direct Command,0.799006367723147,0.3076305220883534,True Robustness
art_0001,A02,A,Direct Command,0.728700224132765,0.8598393574297188,Fragile
art_0001,A03,A,Direct Command,0.7630348290715899,0.4899598393574297,Fragile
art_0001,A04,A,Direct Command,0.763148334764299,0.3319277108433735,True Robustness
art_0001,A05,A,Question Form,0.6461261723722731,0.6696787148594378,Fragile
art_0001,A06,A,Question Form,0.6616335262854894,0.5656626506024096,Fragile
art_0001,A07,A,Question Form,0.5987178087234498,0.9228915662650602,Fragile
art_0001,A08,A,Question Form,0.5805276295258887,0.9666666666666667,Fragile
art_0001,A09,A,Role Based,0.7574369261662165,0.46325301204819275,True Robustness
art_0001,A10,A,Role Based,0.8537751414946149,0.5357429718875502,Fragile
art_0001,A11,A,Role Based,0.6458709885676701,0.8024096385542169,Fragile
art_0001,A12,A,Role Based,0.7047410671200071,0.8558232931726908,Fragile
art_0001,A13,A,Constraint Based,0.714265009477025,0.41445783132530123,True Robustness
art_0001,A14,A,Constraint Based,0.7329133898019792,0.35963855421686747,True Robustness
art_0001,A15,A,Constraint Based,0.7650939836388543,0.6068273092369478,Fragile
art_0001,A16,A,Analytical Framing,0.6677988320589066,0.5746987951807229,Fragile
art_0001,A17,A,Analytical Framing,0.541226232335681,0.9168674698795181,Unreliable
art_0001,A18,A,Analytical Framing,0.678645370971589,0.6088353413654618,Fragile
art_0001,A19,A,Analytical Framing,0.6018854322887602,0.813855421686747,Fragile
art_0001,A20,A,Output Format,0.8009478456917264,0.48855421686746986,True Robustness
art_0001,A21,A,Output Format,0.5909548440859432,0.8602409638554217,Fragile
art_0001,A22,A,Output Format,0.8422097634701502,0.3566265060240964,True Robustness
art_0001,A23,A,Audience Perspective,0.666378005629494,0.8343373493975903,Fragile
art_0001,A24,A,Audience Perspective,0.7026830826486861,0.5475903614457831,Fragile
art_0001,A25,A,Audience Perspective,0.7201988846063614,0.5413654618473895,Fragile
art_0001,A26,A,Emphasis Focus,0.661080396601132,0.915863453815261,Fragile
