topic_label,sample_idx,model,input_text,original_prompt,prompt_variant_1,prompt_variant_2,prompt_variant_3,prompt_variant_4,prompt_variant_5,model_output_v1,model_output_v2,model_output_v3,model_output_v4,model_output_v5,ppl_v1,ppl_v2,ppl_v3,ppl_v4,ppl_v5,bf_v1,bf_v2,bf_v3,bf_v4,bf_v5,rouge1_v1,rouge1_v2,rouge1_v3,rouge1_v4,rouge1_v5,rouge2_v1,rouge2_v2,rouge2_v3,rouge2_v4,rouge2_v5,rougeL_v1,rougeL_v2,rougeL_v3,rougeL_v4,rougeL_v5,bleu_v1,bleu_v2,bleu_v3,bleu_v4,bleu_v5,lex_sim_v1,lex_sim_v2,lex_sim_v3,lex_sim_v4,lex_sim_v5,exact_match_v1,exact_match_v2,exact_match_v3,exact_match_v4,exact_match_v5,avg_ppl,avg_bf,ppl_std,avg_rouge1,avg_rouge2,avg_rougeL,avg_bleu,avg_lex_sim,rougeL_std,bleu_std,sms,auc_e,trd,kpig,ppl_var,pc_stab,ori,ifi,pri,cs,hs,diagnosis,reference_output
dialogue,0,google/flan-t5-small,User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Continue this conversation as a helpful assistant: {input},Continue this conversation as a helpful assistant: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Respond naturally to the following dialogue: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Provide a helpful and coherent reply to the conversation below: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,"As a conversational AI, continue the exchange below: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.",Give a relevant and informative response to this conversation: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,User: I'd like at least 3 stars please. Would you like me to book it?,I have a 3-star hotel called the Ashley Hotel in the north. Assistant: I found a few options.,I have a 3-star hotel called the Ashley Hotel in the north. User: I need to find a cheap hotel in.,Assistant: I found a few options. Would you like me to book it?,I have a 3-star hotel called the Ashley Hotel in the north. Assistant: I found a few options.,22.6283,19.2354,20.4697,20.7071,15.5195,0.6431,0.6553,0.6076,0.735,0.6352,0.5556,0.6667,0.6667,0.5455,0.6667,0.4118,0.6486,0.6,0.3871,0.6486,0.5556,0.6667,0.6667,0.5455,0.6667,0.3065,0.5999,0.5471,0.3157,0.5999,0.5949,0.7143,0.7594,0.5395,0.7143,0,0,0,0,0,19.712,0.6552,2.3611,0.6202,0.5392,0.6202,0.4738,0.6645,0.057,0.1343,0.519,0.8973,0.0035,0.481,0.1198,0.0428,0.6374,0.96,0.7661,0.449,0.5262,Stochastic Luck,I have a 3-star hotel called the Ashley Hotel in the north. Would you like me to book it?
dialogue,0,google/flan-t5-base,User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Continue this conversation as a helpful assistant: {input},Continue this conversation as a helpful assistant: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Respond naturally to the following dialogue: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Provide a helpful and coherent reply to the conversation below: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,"As a conversational AI, continue the exchange below: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.",Give a relevant and informative response to this conversation: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Would you like me to book it? User: I'd like at least 3 stars please.,I have a 3-star hotel called the Ashley Hotel in the north. Assistant: I found a few options.,Would you like me to book it? User: I need to find a cheap hotel in the north part of town.,Would you like me to book it? User: I'd like at least 3 stars please.,Would you like me to book it? User: I'd like at least 3 stars please.,13.7614,10.8902,10.2274,12.9916,13.4515,0.7277,0.7041,0.7368,0.7718,0.7425,0.5556,0.6667,0.6341,0.5556,0.5556,0.4118,0.6486,0.4615,0.4118,0.4118,0.3889,0.6667,0.3415,0.3889,0.3889,0.3065,0.5999,0.3559,0.3065,0.3065,0.3671,0.7143,0.3222,0.3671,0.3671,0,0,0,0,0,12.2644,0.7366,1.4295,0.5935,0.4691,0.435,0.3751,0.4276,0.1173,0.114,0.4569,0.6985,0.0188,0.5431,0.1166,0.022,0.6522,0.9657,0.7786,0.5274,0.4371,Stochastic Luck,I have a 3-star hotel called the Ashley Hotel in the north. Would you like me to book it?
dialogue,0,sshleifer/distilbart-cnn-12-6,User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Continue this conversation as a helpful assistant: {input},Continue this conversation as a helpful assistant: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Respond naturally to the following dialogue: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Provide a helpful and coherent reply to the conversation below: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,"As a conversational AI, continue the exchange below: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.",Give a relevant and informative response to this conversation: User: I need to find a cheap hotel in the north part of town. Assistant: I found a few options. Do you have a preference for the number of stars? User: I'd like at least 3 stars please.,Would you like me to book it? I have a 3-star hotel called the Ashley Hotel in the north.,I have a 3-star hotel called the Ashley Hotel in the north. Would you like me to book it?,Would you like me to book it? I have a 3-star hotel called the Ashley Hotel in the north.,I have a 3-star hotel called the Ashley Hotel in the north. Would you like me to book it?,I have a 3-star hotel called the Ashley Hotel in the north. Would you like me to book it?,8.8457,8.7115,9.1202,8.2009,8.6985,0.7923,0.802,0.8332,0.7953,0.8239,1.0,1.0,1.0,1.0,1.0,0.9474,1.0,0.9474,1.0,1.0,0.65,1.0,0.65,1.0,1.0,0.9071,1.0,0.9071,1.0,1.0,0.6629,1.0,0.6629,1.0,1.0,0,1,0,1,1,8.7154,0.8093,0.2986,1.0,0.979,0.86,0.9628,0.8652,0.1715,0.0455,0.0,0.7771,0.0,1.0,0.0343,0.0163,0.9331,0.9874,0.9595,0.79,0.8785,True Robustness,I have a 3-star hotel called the Ashley Hotel in the north. Would you like me to book it?
dialogue,1,google/flan-t5-small,User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Continue this conversation as a helpful assistant: {input},Continue this conversation as a helpful assistant: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Respond naturally to the following dialogue: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Provide a helpful and coherent reply to the conversation below: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,"As a conversational AI, continue the exchange below: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.",Give a relevant and informative response to this conversation: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Shall I book that for you? What day would you like to travel?,What day would you like to travel? There is a train departing at 09:01 and arriving at 10:51.,What day would you like to travel? There is a train departing at 09:01 and arriving at 10:51.,Shall I book that for you? User: Can you help me book a train from Cambridge to London?,There is a train departing at 09:01 and arriving at 10:51. User: Can you help me book a train from Cambridge to London?,17.1678,18.5598,21.808,21.2605,16.5549,0.6925,0.6942,0.7276,0.6451,0.7112,0.375,0.7179,0.7179,0.4324,0.6818,0.3333,0.6486,0.6486,0.3429,0.5714,0.375,0.6667,0.6667,0.3243,0.6364,0.2798,0.5731,0.5731,0.2976,0.449,0.3562,0.6517,0.6517,0.3023,0.7255,0,0,0,0,0,19.0702,0.6941,2.1213,0.585,0.509,0.5338,0.4345,0.5375,0.1516,0.1275,0.4806,0.6824,0.0619,0.5194,0.1112,0.0276,0.6268,0.9657,0.7602,0.4499,0.4781,Stochastic Luck,There is a train departing at 09:01 and arriving at 10:51. Shall I book that for you?
dialogue,1,google/flan-t5-base,User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Continue this conversation as a helpful assistant: {input},Continue this conversation as a helpful assistant: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Respond naturally to the following dialogue: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Provide a helpful and coherent reply to the conversation below: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,"As a conversational AI, continue the exchange below: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.",Give a relevant and informative response to this conversation: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,There is a train departing at 09:01 and arriving at 10:51.,There is a train departing at 09:01 and arriving at 10:51.,There is a train departing at 09:01 and arriving at 10:51.,There is a train departing at 09:01 and arriving at 10:51.,There is a train departing at 09:01 and arriving at 10:51.,15.0339,12.6778,11.426,12.8741,14.7713,0.7229,0.7282,0.7255,0.7563,0.7797,0.8125,0.8125,0.8125,0.8125,0.8125,0.8,0.8,0.8,0.8,0.8,0.8125,0.8125,0.8125,0.8125,0.8125,0.5796,0.5796,0.5796,0.5796,0.5796,0.8112,0.8112,0.8112,0.8112,0.8112,0,0,0,0,0,13.3566,0.7425,1.3591,0.8125,0.8,0.8125,0.5796,0.8112,0.0,0.0,0.0,1.0,0.0,1.0,0.1018,0.0221,1.0,0.9693,0.9844,1.0,0.7779,True Robustness,There is a train departing at 09:01 and arriving at 10:51. Shall I book that for you?
dialogue,1,sshleifer/distilbart-cnn-12-6,User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Continue this conversation as a helpful assistant: {input},Continue this conversation as a helpful assistant: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Respond naturally to the following dialogue: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Provide a helpful and coherent reply to the conversation below: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,"As a conversational AI, continue the exchange below: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.",Give a relevant and informative response to this conversation: User: Can you help me book a train from Cambridge to London? Assistant: Sure! What day would you like to travel? User: I need to leave on Monday and arrive before 12:00.,Shall I book that for you? There is a train departing at 09:01 and arriving at 10:51.,Shall I book that for you? There is a train departing at 09:01 and arriving at 10:51.,Shall I book that for you? There is a train departing at 09:01 and arriving at 10:51.,There is a train departing at 09:01 and arriving at 10:51. Shall I book that for you?,There is a train departing at 09:01 and arriving at 10:51. Shall I book that for you?,10.3867,7.6492,9.6794,8.7609,8.2101,0.7922,0.7914,0.7731,0.8507,0.8152,1.0,1.0,1.0,1.0,1.0,0.9444,0.9444,0.9444,1.0,1.0,0.6842,0.6842,0.6842,1.0,1.0,0.8939,0.8939,0.8939,1.0,1.0,0.6824,0.6824,0.6824,1.0,1.0,0,0,0,1,1,8.9373,0.8045,0.987,1.0,0.9666,0.8105,0.9363,0.8094,0.1547,0.052,0.0,0.7866,0.0,1.0,0.1104,0.0267,0.9365,0.9661,0.9511,0.8105,0.8546,True Robustness,There is a train departing at 09:01 and arriving at 10:51. Shall I book that for you?
dialogue,2,google/flan-t5-small,User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Continue this conversation as a helpful assistant: {input},Continue this conversation as a helpful assistant: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Respond naturally to the following dialogue: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Provide a helpful and coherent reply to the conversation below: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,"As a conversational AI, continue the exchange below: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.",Give a relevant and informative response to this conversation: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Do you have a preference for area? Prezzo is a moderately priced Italian restaurant in.,User: I'm looking for an Italian restaurant that is moderately priced. Prezzo is a moderately priced Italian restaurant in the city centre.,Assistant: I found several. Prezzo is a moderately priced Italian restaurant in the city centre.,User: The city centre please. Would you like their phone number?,User: I'm looking for an Italian restaurant that is moderately priced. Would you like their phone number?,17.0502,19.4859,20.0083,17.8685,20.3022,0.6348,0.6139,0.6338,0.73,0.7014,0.5625,0.55,0.6875,0.6429,0.6286,0.4667,0.5263,0.6667,0.5385,0.4242,0.5,0.55,0.6875,0.6429,0.5143,0.3621,0.4609,0.6137,0.301,0.3351,0.5474,0.562,0.6834,0.6587,0.6538,0,0,0,0,0,18.943,0.6628,1.266,0.6143,0.5245,0.5789,0.4146,0.6211,0.0737,0.1129,0.5562,0.8578,0.0477,0.4438,0.0668,0.0448,0.595,0.9725,0.7383,0.3735,0.47,Stochastic Luck,Prezzo is a moderately priced Italian restaurant in the city centre. Would you like their phone number?
dialogue,2,google/flan-t5-base,User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Continue this conversation as a helpful assistant: {input},Continue this conversation as a helpful assistant: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Respond naturally to the following dialogue: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Provide a helpful and coherent reply to the conversation below: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,"As a conversational AI, continue the exchange below: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.",Give a relevant and informative response to this conversation: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Would you like their phone number? User: The city centre please.,Do you have a preference for area? Prezzo is a moderately priced Italian restaurant in the city centre.,Would you like their phone number? Assistant: I found several.,Would you like their phone number? Assistant: I found several.,Would you like their phone number? User: The city centre please.,13.7664,12.4724,13.1866,10.4692,12.1791,0.7836,0.767,0.7669,0.6987,0.7429,0.6429,0.6857,0.4444,0.4444,0.6429,0.5385,0.6061,0.4,0.4,0.5385,0.4286,0.6286,0.4444,0.4444,0.4286,0.301,0.5857,0.2567,0.2567,0.301,0.4072,0.6602,0.4121,0.4121,0.4072,0,0,0,0,0,12.4147,0.7518,1.1195,0.5721,0.4966,0.4749,0.3402,0.4598,0.0772,0.1243,0.5031,0.8183,0.0536,0.4969,0.0902,0.0296,0.6346,0.9704,0.7674,0.498,0.4335,Stochastic Luck,Prezzo is a moderately priced Italian restaurant in the city centre. Would you like their phone number?
dialogue,2,sshleifer/distilbart-cnn-12-6,User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Continue this conversation as a helpful assistant: {input},Continue this conversation as a helpful assistant: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Respond naturally to the following dialogue: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Provide a helpful and coherent reply to the conversation below: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,"As a conversational AI, continue the exchange below: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.",Give a relevant and informative response to this conversation: User: I'm looking for an Italian restaurant that is moderately priced. Assistant: I found several. Do you have a preference for area? User: The city centre please.,Would you like their phone number? Prezzo is a moderately priced Italian restaurant in the city centre.,Would you like their phone number? Prezzo is a moderately priced Italian restaurant in the city centre.,Prezzo is a moderately priced Italian restaurant in the city centre. Would you like their phone number?,Prezzo is a moderately priced Italian restaurant in the city centre. Would you like their phone number?,Prezzo is a moderately priced Italian restaurant in the city centre. Would you like their phone number?,8.6467,9.0492,8.537,9.0098,8.43,0.8401,0.8727,0.8516,0.8615,0.8532,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,1.0,1.0,1.0,0.6471,0.6471,1.0,1.0,1.0,0.8939,0.8939,1.0,1.0,1.0,0.6602,0.6602,1.0,1.0,1.0,0,0,1,1,1,8.7345,0.8558,0.2507,1.0,0.975,0.8588,0.9576,0.8641,0.1729,0.052,0.0,0.7749,0.0,1.0,0.0287,0.0109,0.9323,0.9901,0.9603,0.7883,0.8758,True Robustness,Prezzo is a moderately priced Italian restaurant in the city centre. Would you like their phone number?
dialogue,3,google/flan-t5-small,"User: I need a taxi to get to the train station by 3pm. Assistant: Where will you be departing from? User: From the hotel I'm staying at, the Gonville Hotel.",Continue this conversation as a helpful assistant: {input},"Continue this conversation as a helpful assistant: User: I need a taxi to get to the train station by 3pm. Assistant: Where will you be departing from? User: From the hotel I'm staying at, the Gonville Hotel.","Respond naturally to the following dialogue: User: I need a taxi to get to the train station by 3pm. Assistant: Where will you be departing from? User: From the hotel I'm staying at, the Gonville Hotel.","Provide a helpful and coherent reply to the conversation below: User: I need a taxi to get to the train station by 3pm. Assistant: Where will you be departing from? User: From the hotel I'm staying at, the Gonville Hotel.","As a conversational AI, continue the exchange below: User: I need a taxi to get to the train station by 3pm. Assistant: Where will you be departing from? User: From the hotel I'm staying at, the Gonville Hotel.","Give a relevant and informative response to this conversation: User: I need a taxi to get to the train station by 3pm. Assistant: Where will you be departing from? User: From the hotel I'm staying at, the Gonville Hotel.",Assistant: Where will you be departing from? I'll book a taxi from the Gonville Hotel to the train station arriving by 3pm.,"User: From the hotel I'm staying at, the Gonville Hotel. I'll book a taxi from the Gonville Hotel to the.","Can I get your contact number? User: From the hotel I'm staying at, the Gonville Hotel.","Can I get your contact number? User: From the hotel I'm staying at, the Gonville Hotel.",I'll book a taxi from the Gonville Hotel to the train station arriving by 3pm. User: I need a taxi to get to the train station by 3pm.,19.9586,18.3325,17.0962,17.3033,17.4137,0.6635,0.5786,0.6503,0.6878,0.5791,0.7111,0.5455,0.6154,0.6154,0.7059,0.6977,0.4762,0.4324,0.4324,0.6122,0.7111,0.5,0.3077,0.3077,0.7059,0.6572,0.3922,0.279,0.279,0.5243,0.6724,0.4486,0.3061,0.3061,0.7737,0,0,0,0,0,18.0209,0.6319,1.0574,0.6387,0.5302,0.5065,0.4263,0.5014,0.1793,0.1466,0.3503,0.6042,0.0851,0.6497,0.0587,0.0449,0.6865,0.9744,0.8055,0.473,0.4701,Stochastic Luck,I'll book a taxi from the Gonville Hotel to the train station arriving by 3pm. Can I get your contact number?
