dimension,pool,n_cells,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,sensitivity_resid_mean,sms_drift_mean,pri_mean,pri_std,pri_ci_low,pri_ci_high
Analytical Framing,A,120,0.6079241716700021,0.1743181959950974,0.5768785579275071,0.6389507820028166,0.09604349984926736,0.11748221268256505,0.7120635783095776,0.054642823447563355,0.7021846465692245,0.7217232679320167
Audience Perspective,A,90,0.4892424579349195,0.17186422213003494,0.4538769179452969,0.5249685778173103,-0.0034020166006390857,0.09240618679258558,0.7374421350203085,0.055736841265816274,0.7261000929892243,0.7489827340551242
Completeness Framing,A,90,0.4886739307686605,0.175308249678184,0.4525261532379612,0.5242716008202999,0.0019249477512044539,0.08201492495006985,0.744179376208893,0.054364972914137916,0.7329129817840705,0.7552849149769021
Constraint Based,A,90,0.3449885108590912,0.16529524044756538,0.3100258196822573,0.3788460702196527,-0.15403884070575424,0.05795813732677036,0.7357618329998066,0.05364711023966062,0.7248892145178658,0.7467924032213612
Direct Command,A,120,0.4591031057742198,0.17192437952813927,0.42871426321251205,0.49004119412941954,-0.029361229988294938,0.08129038910071056,0.7562594753685882,0.06115567568477556,0.7456072132315702,0.7673807199518057
Emphasis Focus,A,90,0.5459538457737256,0.20722238550996716,0.5032241000172956,0.5883045054727842,0.0535893657361286,0.10380272732840644,0.7212925745328802,0.05156036882650534,0.7107014590482733,0.731877206834846
Lexical Filter,B,90,0.4498727546759567,0.14164621379971726,0.42120145529118175,0.47885261779457905,-0.0678492691982998,0.07455244064331054,0.7186113124938007,0.0797520274561185,0.70206697452806,0.7352370367853244
Meta-reflection,B,30,0.5852864872878214,0.16108594681205027,0.5257345637832628,0.6427977540582609,0.07769692923514968,0.10051942865053813,0.7130204165241671,0.04654575990021115,0.6960140745215434,0.7293056765586592
Output Format,A,90,0.3389518938551627,0.14587457220731884,0.30888746818866897,0.36911360660193215,-0.15135423007199858,0.05002165105607775,0.7538503265617116,0.05895332436718364,0.7418622306634214,0.7660925376463058
Persona / Tone,B,180,0.47108492081140513,0.1494228166106148,0.4494287611494082,0.492823956711882,-0.033595724176020574,0.09205464389589098,0.7142221314536703,0.057598153316937156,0.7059908458465397,0.7225639262932787
Question Form,A,120,0.6122211103698763,0.17441431705474286,0.5797918983025719,0.6426063301460232,0.08914649252375022,0.11702296783526739,0.6958390700191842,0.05406848661119902,0.6861428537856681,0.705504613863782
Role Based,A,120,0.4877940849455192,0.1549876304391947,0.4597594229486324,0.5157444129419613,0.007930318427254097,0.08215439319610596,0.745749145128303,0.04818035878032943,0.7373124471069872,0.7544490801972015
Theme Isolation,B,150,0.6187748869616783,0.16266277689534703,0.5932169001556593,0.6453726484322881,0.09290692050834873,0.14841682612895965,0.6792641197681518,0.07777587489271447,0.6668534465025412,0.6913165564037205
Tone Register,A,120,0.4632773700985842,0.13403205258988432,0.4388628530131198,0.48746561596619964,-0.00807584517514578,0.08432692587375641,0.7465782712777006,0.04229313951341436,0.739293270899725,0.754190478612889
