instance_id,task,variant_idx,strategy,base_text,paraphrased_text,sbert_similarity,full_prompt,input_text,reference_output
qa_0000,qa,0,role_prefix,Why are we not allowed to watch when we get a surgery?,"As a patient, why are we not allowed to watch when we get a surgery?",0.9734,"Answer the following question clearly and accurately.

Question: As a patient, why are we not allowed to watch when we get a surgery?

Answer:",Why are we not allowed to watch when we get a surgery?,"A percentage of patients, seeing what's happening, will get nervous and start moving around, talking, or otherwise interfering with the surgery."
qa_0001,qa,0,reordered_clauses,Do imaginary numbers have uses in the real world?,Are imaginary numbers used in the real world?,0.9471,"Answer the following question clearly and accurately.

Question: Are imaginary numbers used in the real world?

Answer:",Do imaginary numbers have uses in the real world?,"They're incredibly useful. Other people have given very long and detailed answers, so I'm going to just jump in with a few examples: * The quantum mechanical wave equation (Schrodinger's equation) uses complex numbers * Complex numbers are used to analyse impedance in AC circuits * Used to compute integrals from -infinity to +infinity which can't be solved with other methods, using the Cauchy residue theorem."
qa_0001,qa,1,role_prefix,Do imaginary numbers have uses in the real world?,"As a mathematician, what are the uses of imaginary numbers?",0.9004,"Answer the following question clearly and accurately.

Question: As a mathematician, what are the uses of imaginary numbers?

Answer:",Do imaginary numbers have uses in the real world?,"They're incredibly useful. Other people have given very long and detailed answers, so I'm going to just jump in with a few examples: * The quantum mechanical wave equation (Schrodinger's equation) uses complex numbers * Complex numbers are used to analyse impedance in AC circuits * Used to compute integrals from -infinity to +infinity which can't be solved with other methods, using the Cauchy residue theorem."
qa_0002,qa,0,casual_tone,"Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?","You know how you'll often find rival stores like Lowe's and Home Depot, or Walgreens and CVS, basically right across from each other? Why do they cluster so close together - wouldn't one of them be more likely to thrive if it set up shop a bit further away?",0.8612,"Answer the following question clearly and accurately.

Question: You know how you'll often find rival stores like Lowe's and Home Depot, or Walgreens and CVS, basically right across from each other? Why do they cluster so close together - wouldn't one of them be more likely to thrive if it set up shop a bit further away?

Answer:","Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?",Apparently my other comment was not long enough. They end up creating a Nash equilibrium where they can't improve their position any further without hurting some portion of their customers. See this video _URL_0_
qa_0002,qa,1,reordered_clauses,"Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?","You often find stores like Lowe's and Home Depot within two blocks of each other or Walgreens and CVS across an intersection - why do direct competitors tend to locate so close to each other, rather than one being better off by moving further away?",0.9578,"Answer the following question clearly and accurately.

Question: You often find stores like Lowe's and Home Depot within two blocks of each other or Walgreens and CVS across an intersection - why do direct competitors tend to locate so close to each other, rather than one being better off by moving further away?

Answer:","Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?",Apparently my other comment was not long enough. They end up creating a Nash equilibrium where they can't improve their position any further without hurting some portion of their customers. See this video _URL_0_
qa_0002,qa,2,synonyms,"Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?","Why do businesses that offer similar products or services frequently establish themselves in very close proximity to one another? I'm considering examples such as Lowe's and Home Depot being situated within a short walking distance of each other, or Walgreens and CVS being located directly opposite one another. Wouldn't the newcomer typically benefit from being farther away?",0.83,"Answer the following question clearly and accurately.

Question: Why do businesses that offer similar products or services frequently establish themselves in very close proximity to one another? I'm considering examples such as Lowe's and Home Depot being situated within a short walking distance of each other, or Walgreens and CVS being located directly opposite one another. Wouldn't the newcomer typically benefit from being farther away?

Answer:","Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?",Apparently my other comment was not long enough. They end up creating a Nash equilibrium where they can't improve their position any further without hurting some portion of their customers. See this video _URL_0_
qa_0002,qa,3,different_structure,"Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?","What's the advantage for businesses like Lowe's and Home Depot, or Walgreens and CVS, to set up shop in such close proximity to one another, rather than spreading out and avoiding direct competition by locating farther apart?",0.8479,"Answer the following question clearly and accurately.

Question: What's the advantage for businesses like Lowe's and Home Depot, or Walgreens and CVS, to set up shop in such close proximity to one another, rather than spreading out and avoiding direct competition by locating farther apart?

Answer:","Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?",Apparently my other comment was not long enough. They end up creating a Nash equilibrium where they can't improve their position any further without hurting some portion of their customers. See this video _URL_0_
qa_0002,qa,4,different_opening,"Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?","What's the reasoning behind the common phenomenon of direct competitors setting up shop in extremely close proximity to one another, as seen in cases like Lowe's and Home Depot being within two blocks of each other, or Walgreens and CVS occupying opposite sides of an intersection, which might seem counterintuitive since relocating farther away could potentially provide a competitive advantage?",0.896,"Answer the following question clearly and accurately.

Question: What's the reasoning behind the common phenomenon of direct competitors setting up shop in extremely close proximity to one another, as seen in cases like Lowe's and Home Depot being within two blocks of each other, or Walgreens and CVS occupying opposite sides of an intersection, which might seem counterintuitive since relocating farther away could potentially provide a competitive advantage?

Answer:","Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?",Apparently my other comment was not long enough. They end up creating a Nash equilibrium where they can't improve their position any further without hurting some portion of their customers. See this video _URL_0_
qa_0002,qa,5,elaborated,"Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?","What drives the common phenomenon of direct competitors in retail choosing to establish their businesses in extremely close proximity to one another, as seen with the frequent co-location of big-box stores like Lowe's and Home Depot, or pharmacies such as Walgreens and CVS, often within a short distance of each other, and wouldn't one of the businesses potentially benefit from locating in a different area to minimize direct competition?",0.89,"Answer the following question clearly and accurately.

Question: What drives the common phenomenon of direct competitors in retail choosing to establish their businesses in extremely close proximity to one another, as seen with the frequent co-location of big-box stores like Lowe's and Home Depot, or pharmacies such as Walgreens and CVS, often within a short distance of each other, and wouldn't one of the businesses potentially benefit from locating in a different area to minimize direct competition?

Answer:","Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?",Apparently my other comment was not long enough. They end up creating a Nash equilibrium where they can't improve their position any further without hurting some portion of their customers. See this video _URL_0_
qa_0002,qa,6,technical_vocab,"Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?","What motivates direct market competitors to frequently establish proximate locations, as exemplified by the common co-location of big-box retailers like Lowe's and Home Depot, or pharmacy chains such as Walgreens and CVS, often in immediate proximity to one another, despite potential benefits of spatial separation?",0.8572,"Answer the following question clearly and accurately.

Question: What motivates direct market competitors to frequently establish proximate locations, as exemplified by the common co-location of big-box retailers like Lowe's and Home Depot, or pharmacy chains such as Walgreens and CVS, often in immediate proximity to one another, despite potential benefits of spatial separation?

Answer:","Why do direct competitors often locate extremely close to each other? I’m thinking of how you often find Lowe’s and Home Depot within two blocks of each other, or Walgreens and CVS or stores like that across an intersection. Wouldn’t the one moving in tend to be better off further away?",Apparently my other comment was not long enough. They end up creating a Nash equilibrium where they can't improve their position any further without hurting some portion of their customers. See this video _URL_0_
