dimension,pool,n_cells,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,sensitivity_resid_mean,sms_drift_mean,pri_mean,pri_std,pri_ci_low,pri_ci_high
Analytical Framing,A,120,0.5508165165666,0.16851396490820814,0.5210060422225928,0.5808617272626196,0.04996804947582641,0.11748221268256505,0.7215774201207247,0.05521735749454074,0.7116462058861383,0.7312663021582597
Audience Perspective,A,90,0.5023098732488326,0.15465771859541108,0.47031952783337033,0.5344301154473352,0.012241732893239071,0.09240618679258558,0.7533313895776222,0.055451312004129664,0.7419990627209861,0.7650325794693834
Completeness Framing,A,90,0.49468886665184203,0.165980684777993,0.46053956804536356,0.5288904269513008,-0.0010167299628871134,0.08201492495006985,0.7700047228547575,0.045412162026641584,0.7606166439011125,0.779301231863214
Constraint Based,A,90,0.3550845007782967,0.1529934070260577,0.32304000352086576,0.3863041981691498,-0.15536222705806493,0.05795813732677036,0.7635045859379584,0.05342502936157283,0.7524902885588106,0.7746697754969569
Direct Command,A,120,0.45834584167222586,0.16426902186790288,0.4295966060707138,0.48794649905492554,-0.029008687841492315,0.08129038910071056,0.7749712611440939,0.054662464793567095,0.7653766582489371,0.7850593379828251
Emphasis Focus,A,90,0.48489808020161584,0.18783946089192577,0.44681287061744857,0.5236472463123563,-0.013543205114117149,0.10380272732840644,0.7433084518147822,0.04994672780179943,0.7331525029207654,0.753584667642647
Lexical Filter,B,90,0.47794362908605725,0.13005877339056995,0.4510858766955748,0.5045446501371285,-0.03261971089602923,0.07455244064331054,0.731223222193427,0.08385875212465219,0.7135904117495516,0.7487077466291222
Meta-reflection,B,30,0.6095808316655548,0.1452375836657436,0.5564319963308871,0.6627191321992438,0.11316120566498418,0.10051942865053813,0.7205775245290554,0.04526953807216209,0.7041047728997621,0.7366509740920042
Output Format,A,90,0.3495445111555852,0.14296413012601683,0.3198531521014009,0.37907906659995544,-0.1517106342385286,0.05002165105607775,0.7817611398715153,0.05453427848549504,0.7705466908172707,0.7931152641849285
Persona / Tone,B,180,0.47943666147802233,0.1664499446657756,0.45521018410421765,0.5043176353680231,-0.0174204857431353,0.09205464389589098,0.7239408580654113,0.05717992148408704,0.7156672651194925,0.7322314716187064
Question Form,A,120,0.621328107627307,0.18261612615559197,0.5874556614131644,0.6536355278519012,0.08439724270032,0.11702296783526739,0.728189706809238,0.04734473267962733,0.7197019710083093,0.7367710975372883
Role Based,A,120,0.5151614965532578,0.15671501207702393,0.4873960696019568,0.5431091005114521,0.029920250691795484,0.08215439319610596,0.767081240673606,0.04834939983663061,0.7585468743617771,0.7757411225834651
Theme Isolation,B,150,0.6014097175895041,0.16894140148586229,0.5746941794529686,0.628337644540805,0.08776673828725222,0.14841682612895965,0.6872597849248482,0.05889799408970054,0.6779240541519437,0.6965675902419349
Tone Register,A,120,0.48268359461863464,0.13186268341898486,0.4591464066321993,0.5065525628196575,0.009363230095233129,0.08432692587375641,0.7632500034414818,0.04274581986622505,0.7557386370936057,0.7710989295669748
